Dry sand - Load to 45.20% strain then unload to 0 pressure,,,,,
Engineering,,,,,
volumetric,,,,,
strain,pressure,,,,
(%),(MPa),,,,Unload@45.20 strain
18.8279,70.8646,,,,
18.8778,71.4125,,,,
18.9277,71.9648,,,,
18.9776,72.5215,,,,
19.0274,73.0826,,,,
19.0773,73.6483,,,,
19.1272,74.2184,,,,
19.1771,74.7931,,,,
19.2269,75.3725,,,,
19.2768,75.9564,,,,
19.3267,76.545,,,,
19.3766,77.1384,,,,
19.4264,77.7364,,,,
19.4763,78.3393,,,,
19.5262,78.9469,,,,
19.5761,79.5594,,,,
19.6259,80.1768,,,,
19.6758,80.7991,,,,
19.7257,81.4264,,,,
19.7756,82.0587,,,,
19.8254,82.696,,,,
19.8753,83.3384,,,,
19.9252,83.986,,,,
19.9751,84.6386,,,,
20.0249,85.2965,,,,
20.0748,85.9596,,,,
20.1247,86.628,,,,
20.1746,87.3017,,,,
20.2244,87.9808,,,,
20.2743,88.6652,,,,
20.3242,89.3551,,,,
20.3741,90.0505,,,,
20.4239,90.7514,,,,
20.4738,91.4579,,,,
20.5237,92.1699,,,,
20.5736,92.8877,,,,
20.6234,93.6111,,,,
20.6733,94.3402,,,,
20.7232,95.0751,,,,
20.7731,95.8159,,,,
20.8229,96.5625,,,,
20.8728,97.315,,,,
20.9227,98.0735,,,,
20.9726,98.838,,,,
21.0224,99.6085,,,,
21.0723,100.385,,,,
21.1222,101.168,,,,
21.1721,101.957,,,,
21.2219,102.752,,,,
21.2718,103.553,,,,
21.3217,104.361,,,,
21.3716,105.175,,,,
21.4214,105.996,,,,
21.4713,106.823,,,,
21.5212,107.656,,,,
21.5711,108.496,,,,
21.6209,109.343,,,,
21.6708,110.196,,,,
21.7207,111.056,,,,
21.7706,111.923,,,,
21.8204,112.797,,,,
21.8703,113.677,,,,
21.9202,114.565,,,,
21.9701,115.459,,,,
22.0199,116.361,,,,
22.0698,117.269,,,,
22.1197,118.185,,,,
22.1696,119.107,,,,
22.2194,120.037,,,,
22.2693,120.974,,,,
22.3192,121.919,,,,
22.3691,122.871,,,,
22.419,123.83,,,,
22.4688,124.797,,,,
22.5187,125.772,,,,
22.5686,126.754,,,,
22.6185,127.743,,,,
22.6683,128.741,,,,
22.7182,129.746,,,,
22.7681,130.759,,,,
22.818,131.78,,,,
22.8678,132.809,,,,
22.9177,133.846,,,,
22.9676,134.891,,,,
23.0175,135.944,,,,
23.0673,137.005,,,,
23.1172,138.072,,,,
23.1671,139.141,,,,
23.217,140.212,,,,
23.2668,141.286,,,,
23.3167,142.362,,,,
23.3666,143.44,,,,
23.4165,144.521,,,,
23.4663,145.606,,,,
23.5162,146.694,,,,
23.5661,147.785,,,,
23.616,148.88,,,,
23.6658,149.979,,,,
23.7157,151.083,,,,
23.7656,152.19,,,,
23.8155,153.302,,,,
23.8653,154.419,,,,
23.9152,155.54,,,,
23.9651,156.666,,,,
24.015,157.798,,,,
24.0648,158.935,,,,
24.1147,160.078,,,,
24.1646,161.227,,,,
24.2145,162.381,,,,
24.2643,163.542,,,,
24.3142,164.709,,,,
24.3641,165.882,,,,
24.414,167.062,,,,
24.4638,168.249,,,,
24.5137,169.443,,,,
24.5636,170.644,,,,
24.6135,171.853,,,,
24.6633,173.069,,,,
24.7132,174.293,,,,
24.7631,175.525,,,,
24.813,176.765,,,,
24.8628,178.014,,,,
24.9127,179.271,,,,
24.9626,180.536,,,,
25.0125,181.811,,,,
25.0623,183.094,,,,
25.1122,184.387,,,,
25.1621,185.689,,,,
25.212,187.001,,,,
25.2618,188.322,,,,
25.3117,189.654,,,,
25.3616,190.996,,,,
25.4115,192.348,,,,
25.4613,193.71,,,,
25.5112,195.083,,,,
25.5611,196.468,,,,
25.611,197.863,,,,
25.6608,199.269,,,,
25.7107,200.688,,,,
25.7606,202.117,,,,
25.8105,203.559,,,,
25.8603,205.012,,,,
25.9102,206.478,,,,
25.9601,207.957,,,,
26.01,209.448,,,,
26.0599,210.952,,,,
26.1097,212.469,,,,
26.1596,213.999,,,,
26.2095,215.542,,,,
26.2593,217.099,,,,
26.3092,218.67,,,,
26.3591,220.256,,,,
26.409,221.855,,,,
26.4589,223.469,,,,
26.5087,225.097,,,,
26.5586,226.74,,,,
26.6085,228.399,,,,
26.6584,230.072,,,,
26.7082,231.761,,,,
26.7581,233.466,,,,
26.808,235.187,,,,
26.8579,236.924,,,,
26.9077,238.677,,,,
26.9576,240.446,,,,
27.0075,242.233,,,,
27.0574,244.036,,,,
27.1072,245.856,,,,
27.1571,247.694,,,,
27.207,249.55,,,,
27.2569,251.423,,,,
27.3067,253.314,,,,
27.3566,255.224,,,,
27.4065,257.152,,,,
27.4564,259.099,,,,
27.5062,261.065,,,,
27.5561,263.05,,,,
27.606,265.054,,,,
27.6559,267.078,,,,
27.7057,269.122,,,,
27.7556,271.186,,,,
27.8055,273.27,,,,
27.8554,275.375,,,,
27.9052,277.5,,,,
27.9551,279.647,,,,
28.005,281.815,,,,
28.0549,284.004,,,,
28.1047,286.215,,,,
28.1546,288.448,,,,
28.2045,290.704,,,,
28.2544,292.981,,,,
28.3042,295.282,,,,
28.3541,297.605,,,,
28.404,299.952,,,,
28.4539,302.322,,,,
28.5037,304.715,,,,
28.5536,307.133,,,,
28.6035,309.575,,,,
28.6534,312.041,,,,
28.7032,314.532,,,,
28.7531,317.048,,,,
28.803,319.589,,,,
28.8529,322.156,,,,
28.9027,324.749,,,,
28.9526,327.367,,,,
29.0025,330.012,,,,
29.0524,332.683,,,,
29.1022,335.381,,,,
29.1521,338.106,,,,
29.202,340.858,,,,
29.2519,343.639,,,,
29.3017,346.446,,,,
29.3516,349.283,,,,
29.4015,352.147,,,,
29.4514,355.04,,,,
29.5012,357.962,,,,
29.5511,360.914,,,,
29.601,363.895,,,,
29.6509,366.906,,,,
29.7007,369.947,,,,
29.7506,373.018,,,,
29.8005,376.12,,,,
29.8504,379.253,,,,
29.9002,382.418,,,,
29.9501,385.613,,,,
30,388.841,,,,
30.0993,395.367,,,,
30.1987,402.022,,,,
30.298,408.81,,,,
30.3974,415.732,,,,
30.4967,422.792,,,,
30.5961,429.991,,,,
30.6954,437.333,,,,
30.7948,444.819,,,,
30.8941,452.453,,,,
30.9935,460.236,,,,
31.0928,468.172,,,,
31.1922,476.263,,,,
31.2915,484.512,,,,
31.3908,492.922,,,,
31.4902,501.494,,,,
31.5895,510.233,,,,
31.6889,519.141,,,,
31.7882,528.22,,,,
31.8876,537.474,,,,
31.9869,546.905,,,,
32.0863,556.516,,,,
32.1856,566.311,,,,
32.285,576.293,,,,
32.3843,586.464,,,,
32.4837,596.827,,,,
32.583,607.386,,,,
32.6824,618.144,,,,
32.7817,629.104,,,,
32.881,640.269,,,,
32.9804,651.642,,,,
33.0797,663.228,,,,
33.1791,675.028,,,,
33.2784,687.047,,,,
33.3778,699.288,,,,
33.4771,711.754,,,,
33.5765,724.449,,,,
33.6758,737.377,,,,
33.7752,750.541,,,,
33.8745,763.944,,,,
33.9739,777.591,,,,
34.0732,791.485,,,,
34.1726,805.629,,,,
34.2719,820.029,,,,
34.3712,834.687,,,,
34.4706,849.607,,,,
34.5699,864.794,,,,
34.6693,880.251,,,,
34.7686,895.983,,,,
34.868,911.993,,,,
