Hydrostat,,,,,
,,,,,
,,,,,
Dry sand,,,,,
Engineering,,,,,
volumetric,,,,,
strain,pressure,,,,
(%),(MPa),,,,Loading
27.21,249.55,,,,
27.26,251.423,,,,
27.31,253.314,,,,
27.36,255.224,,,,
27.41,257.152,,,,
27.46,259.099,,,,
27.51,261.065,,,,
27.56,263.05,,,,
27.61,265.054,,,,
27.66,267.078,,,,
27.71,269.122,,,,
27.76,271.186,,,,
27.81,273.27,,,,
27.86,275.375,,,,
27.91,277.5,,,,
27.96,279.647,,,,
28.01,281.815,,,,
28.05,284.004,,,,
28.10,286.215,,,,
28.15,288.448,,,,
28.20,290.704,,,,
28.25,292.981,,,,
28.30,295.282,,,,
28.35,297.605,,,,
28.40,299.952,,,,
28.45,302.322,,,,
28.50,304.715,,,,
28.55,307.133,,,,
28.60,309.575,,,,
28.65,312.041,,,,
28.70,314.532,,,,
28.75,317.048,,,,
28.80,319.589,,,,
28.85,322.156,,,,
28.90,324.749,,,,
28.95,327.367,,,,
29.00,330.012,,,,
29.05,332.683,,,,
29.10,335.381,,,,
29.15,338.106,,,,
29.20,340.858,,,,
29.25,343.639,,,,
29.30,346.446,,,,
29.35,349.283,,,,
29.40,352.147,,,,
29.45,355.04,,,,
29.50,357.962,,,,
29.55,360.914,,,,
29.60,363.895,,,,
29.65,366.906,,,,
29.70,369.947,,,,
29.75,373.018,,,,
29.80,376.12,,,,
29.85,379.253,,,,
29.90,382.418,,,,
29.95,385.613,,,,
30.00,388.841,,,,
30.10,395.367,,,,
30.20,402.022,,,,
30.30,408.81,,,,
30.40,415.732,,,,
30.50,422.792,,,,
30.60,429.991,,,,
30.70,437.333,,,,
30.79,444.819,,,,
30.89,452.453,,,,
30.99,460.236,,,,
31.09,468.172,,,,
31.19,476.263,,,,
31.29,484.512,,,,
31.39,492.922,,,,
31.49,501.494,,,,
31.59,510.233,,,,
31.69,519.141,,,,
31.79,528.22,,,,
31.89,537.474,,,,
31.99,546.905,,,,
32.09,556.516,,,,
32.19,566.311,,,,
32.29,576.293,,,,
32.38,586.464,,,,
32.48,596.827,,,,
32.58,607.386,,,,
32.68,618.144,,,,
32.78,629.104,,,,
32.88,640.269,,,,
32.98,651.642,,,,
33.08,663.228,,,,
33.18,675.028,,,,
33.28,687.047,,,,
33.38,699.288,,,,
33.48,711.754,,,,
33.58,724.449,,,,
33.68,737.377,,,,
33.78,750.541,,,,
33.87,763.944,,,,
33.97,777.591,,,,
34.07,791.485,,,,
34.17,805.629,,,,
34.27,820.029,,,,
34.37,834.687,,,,
34.47,849.607,,,,
34.57,864.794,,,,
34.67,880.251,,,,
34.77,895.983,,,,
34.87,911.993,,,,
34.97,928.286,,,,
35.07,944.865,,,,
35.17,961.736,,,,
35.27,978.902,,,,
35.36,996.368,,,,
35.46,1014.14,,,,
35.56,1032.22,,,,
35.66,1050.61,,,,
35.76,1069.32,,,,
35.86,1088.35,,,,
35.96,1107.71,,,,
36.06,1127.4,,,,
